time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-06 09:30:00-04:00,MLTrader,c096ad4df3de4fee834ca51fe539999b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,c096ad4df3de4fee834ca51fe539999b,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,404fd2981261480e915a99fcd5e8da55,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,d642e39580b942acb051e0970340676d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,916e93b7ab7142e49d6e09db91b684a0,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,68cb3c315bb244d5af5a7a29b97ecb8c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,916e93b7ab7142e49d6e09db91b684a0,SPY,sell,market,fill,1,day,0.0,1,stock,430.9200134277344,117.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,68cb3c315bb244d5af5a7a29b97ecb8c,SPY,sell,market,fill,1,gtc,0.0,1,stock,430.9200134277344,58.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,495c23201379416e92453a2ac66d2d7a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,495c23201379416e92453a2ac66d2d7a,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.9599914550781,144.0,0.0
2023-07-18 09:30:00-04:00,MLTrader,5008320dc79644d49563c317acb53e60,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-18 09:30:00-04:00,MLTrader,e382e5c9dad844299432a70b0e0e053b,SPY,buy,stop,fill,1,day,0.0,1,stock,452.46601409912114,58.0,0.0
2023-07-27 09:30:00-04:00,MLTrader,29a65f61c5c041e09463ab9e893fb3d8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-27 09:30:00-04:00,MLTrader,de35cbbfb2f043b1befd1f8871393de0,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,144.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,ec825f8ceabb47b3bd0da92927623379,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,ec825f8ceabb47b3bd0da92927623379,SPY,sell,market,fill,1,gtc,0.0,1,stock,456.2699890136719,105.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,37fe5227fec64b748589497234366482,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,37fe5227fec64b748589497234366482,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,162.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,63038a5cca49437aae12cd239d7f299d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,63038a5cca49437aae12cd239d7f299d,SPY,sell,market,fill,1,gtc,0.0,1,stock,437.54998779296875,246.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,d527eccba72c41aaae4b4ece98e25e86,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
