datetime,portfolio_value,cash,return
2023-05-30 09:30:00-04:00,100000.0,100000.0,
2023-05-31 09:30:00-04:00,100000.0,100000.0,0.0
2023-06-01 09:30:00-04:00,100000.0,100000.0,0.0
2023-06-02 09:30:00-04:00,100000.0,100000.0,0.0
2023-06-03 09:30:00-04:00,100000.0,100000.0,0.0
2023-06-05 09:30:00-04:00,100000.0,100000.0,0.0
2023-06-06 09:30:00-04:00,100000.0,100000.0,0.0
2023-06-07 09:30:00-04:00,100207.08871459961,50079.60842895508,0.0020708871459960143
2023-06-08 09:30:00-04:00,99994.14785766602,50079.60842895508,-0.0021250079177539405
2023-06-09 09:30:00-04:00,100384.92742919922,50079.60842895508,0.00390802441848348
2023-06-10 09:30:00-04:00,100384.92742919922,50079.60842895508,0.0
2023-06-12 09:30:00-04:00,100497.25,50079.60842895508,0.001118918683086223
2023-06-13 09:30:00-04:00,100242.0503540039,125490.6107788086,-0.00253936944539368
2023-06-14 09:30:00-04:00,100144.03021240234,125490.6107788086,-0.0009778345639919195
2023-06-15 09:30:00-04:00,100183.47155761719,125490.6107788086,0.00039384619463778137
2023-06-16 09:30:00-04:00,99795.45141601562,125490.6107788086,-0.003873095387580072
2023-06-17 09:30:00-04:00,99795.45141601562,125490.6107788086,0.0
2023-06-20 09:30:00-04:00,100023.50607080078,125395.6067788086,0.0022852209349149
2023-06-21 09:30:00-04:00,100098.32656640625,125395.6067788086,0.000748029123799343
2023-06-22 09:30:00-04:00,100226.50607080078,125395.6067788086,0.0012805359369270075
2023-06-23 09:30:00-04:00,100285.66720361328,125395.6067788086,0.0005902743209535988
2023-06-24 09:30:00-04:00,100285.66720361328,125395.6067788086,0.0
2023-06-26 09:30:00-04:00,100303.64706201172,125395.6067788086,0.00017928642147757579
2023-06-27 09:30:00-04:00,100319.30642480469,125395.6067788086,0.00015611957542560617
2023-06-28 09:30:00-04:00,100162.7074868164,125395.6067788086,-0.0015610049906561452
2023-06-29 09:30:00-04:00,100109.92727441406,125395.6067788086,-0.000526944745471214
2023-06-30 09:30:00-04:00,99002.96505517577,188173.84554833983,-0.01105746702026833
